city,lat,long,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43
Columbus,39.9829828,-82.9907458,-1.0059464816650148,-0.9548272807794509,-0.04181389870435807,0.37926136363636365,0.33745492014425554,0.14565963707699853,-0.11937470393178588,-0.2193103448275862,-0.05437146585471944,0.2761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,39.76426205,-104.8547867,-0.6326246078773091,-0.5355896720167481,0.07430181911350243,0.800874210781933,0.606817281014665,0.4105936722360469,0.13456018909336484,0.03399104626098491,0.0850925625202988,0.2512150159208983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,23.690649999999998,-166.60062605000002,-0.4792393460565018,-0.44497986191024164,-0.021244995479788194,0.9471319747379386,0.9754379938165579,0.9403552508569648,0.8367635080097746,0.8721165089826725,0.9141347424042272,0.9448517160946351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey City,40.715279800000005,-74.068731,-0.7010309278350515,-0.5400981996726678,0.24856046065259116,0.8094500387296669,0.7627906976744186,0.6080508474576272,0.5193637621023514,0.4633179114342366,0.5662580268534735,0.7261363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,33.9984235,-118.41173615,-0.3616791744840525,-0.35478657667078617,0.24680772086117297,0.7998522622345337,0.6375047415428118,0.5075039627668544,0.3714526815851982,0.32744840749135157,0.33004168002564926,0.7583584675608034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,37.759551,-122.23515065000001,-0.17452830188679244,-0.2369826435246996,0.3923117430226435,0.7809018567639258,0.7421437795953508,0.6534446764091858,0.47855917667238423,0.4427860696517413,0.510913799482057,0.6437527021184609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Grove,36.63650405,-121.93624919999999,-0.09302325581395349,0.06666666666666667,0.4094488188976378,0.9182156133828996,0.8395522388059702,0.5161290322580645,0.3100303951367781,0.3546511627906977,0.375,0.5240793201133145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,32.8245108,-117.10776394999999,-0.4049738219895288,-0.4593406593406593,0.17623182933736076,0.7842064862790251,0.4103412420833727,0.18357096565132858,0.01962507322788518,-0.15668238993710693,-0.1314257195142239,0.2753118121790169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,37.78506265,-122.727652,-0.0690523287178565,-0.10582010582010581,0.550253183980359,0.9336536971012246,0.896518901278216,0.8044305517803751,0.6827109266943292,0.6554641878202836,0.7295369504209541,0.9755370669315783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo County,37.37809875,-122.33493899999999,-0.2827883578871721,-0.27132616487455197,0.3994143484626647,0.8142174432497014,0.7189433603046168,0.5646291374728195,0.3253071253071253,0.3383975026014568,0.4433285509325681,0.6367467340918669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara County,37.188868600000006,-121.70543814999999,-0.20875113947128532,-0.195355587808418,0.35423811856932874,0.7696188340807175,0.7343906846014856,0.6017270429654591,0.3754610277846078,0.41049076097754816,0.46749654218533887,0.6737574552683897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz County,37.06748825,-121.95217975,-0.17521704814522493,-0.3799514955537591,0.21880762138905963,0.8221202854230377,0.6646586345381527,0.43896804004620715,0.06123215627347859,0.1705310396409873,0.16003249390739235,0.02593516209476309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
